"","Mother.ID","Candidate.father.ID","a","b","mindist"
"1","U110","U39",15,187,0
"2","U113","U11",18,14,86.5119266922197
"3","U120","U138",26,45,35.7142525191274
"4","U122","U32",28,180,32.3415225368256
"5","U122","U108",28,12,81.5344529508845
"6","U122","U108",28,12,81.5344529508845
"7","U124","U107",30,11,49.7574819499541
"8","U134","U171",41,82,11.332401907804
"9","U134","U201",41,115,56.2661003535877
"10","U134","U212",41,127,42.8910875823871
"11","U165","U171",75,82,6.22559651760375
"12","U166","U251",76,170,61.7575920596002
"13","U173","U188",84,100,78.0119585961024
"14","U173","U222",84,138,1.15559897888497
"15","U173","U78",84,230,24.7809355957357
"16","U173","U188",84,100,78.0119585961024
"17","U173","U222",84,138,1.15559897888497
"18","U173","U182",84,94,11.5380567687977
"19","U179","U243",90,161,57.6552033558117
"20","U179","U153",90,62,35.4920398117662
"21","U179","U243",90,161,57.6552033558117
"22","U179","U243",90,161,57.6552033558117
"23","U184","U108",96,12,91.9671178302332
"24","U208","U22",122,135,33.0517369135118
"25","U211","U174",126,85,68.9276736659522
"26","U211","U169",126,79,16.9655756459956
"27","U214","U205",129,119,30.2340656379522
"28","U228","U106",144,10,47.3510698189598
"29","U228","U106",144,10,47.3510698189598
"30","U228","U106",144,10,47.3510698189598
"31","U228","U106",144,10,47.3510698189598
"32","U228","U106",144,10,47.3510698189598
"33","U24","U49",157,198,51.3435277420631
"34","U24","U216",157,131,36.9910754642251
"35","U24","U202",157,116,7.04776822831168
"36","U242","U192",160,105,0
"37","U242","U101",160,5,40.50938134556
"38","U29","U9",176,243,41.5024392174725
"39","U52","U25",202,168,33.5176856301267
"40","U52","U83",202,236,18.3658928723871
"41","U56","U174",206,85,59.7255049371707
"42","U6","U77",210,229,0
"43","U6","U77",210,229,0
"44","U6","U77",210,229,0
"45","U6","U77",210,229,0
"46","U6","U77",210,229,0
"47","U6","U162",210,72,3.01489236955484
"48","U6","U77",210,229,0
"49","U6","U77",210,229,0
"50","U72","U27",224,174,28.0858972795957
"51","U72","U27",224,174,28.0858972795957
"52","U74","U213",226,128,1.03619496235023
"53","U74","U23",226,146,17.9805201537664
"54","U74","U62",226,213,0
"55","U90","U222",244,138,4.35413573513732
"56","U90","U222",244,138,4.35413573513732
"57","U90","U236",244,153,5.9473215820233
"58","U90","U222",244,138,4.35413573513732
"59","U90","U180",244,92,69.6679827323858
"60","U90","U160",244,70,58.6932041210905
"61","U90","U222",244,138,4.35413573513732
"62","U90","U236",244,153,5.9473215820233
"63","U91","U176",245,87,54.9037702985871
"64","U91","U250",245,169,45.0835209472375
"65","U93","U106",247,10,44.696876065336
"66","U98","U36",252,184,42.7770234121076
