,x,,
1,0.177436582,,0.178010347
2,0.175433912,,0.002357458
3,0.175133511,,0.171995995
4,0.179238985,,
5,0.179539386,,
6,0.178271028,,
7,0.177736983,,
8,0.181108144,,
9,0.179572764,,
10,0.178571429,,
11,0.18364486,,
12,0.175534045,,
13,0.178337784,,
14,0.177236315,,
15,0.178104139,,
16,0.176001335,,
17,0.182209613,,
18,0.180073431,,
19,0.177403204,,
20,0.173831776,,
21,0.177336449,,
22,0.178871829,,
23,0.175600801,,
24,0.179405874,,
25,0.176802403,,
26,0.18317757,,
27,0.178304406,,
28,0.178471295,,
29,0.179305741,,
30,0.179973298,,
31,0.183678238,,
32,0.175400534,,
33,0.181008011,,
34,0.178404539,,
35,0.175367156,,
36,0.177536716,,
37,0.175333778,,
38,0.178838451,,
39,0.173598131,,
40,0.177403204,,
41,0.180040053,,
42,0.176602136,,
43,0.182109479,,
44,0.176902537,,
45,0.176401869,,
46,0.177202937,,
47,0.175100134,,
48,0.179238985,,
49,0.175267023,,
50,0.177870494,,
51,0.178838451,,
52,0.175801068,,
53,0.175700935,,
54,0.176034713,,
55,0.178170895,,
56,0.178905207,,
57,0.177736983,,
58,0.177436582,,
59,0.180540721,,
60,0.178070761,,
61,0.17329773,,
62,0.177903872,,
63,0.177202937,,
64,0.177870494,,
65,0.178004005,,
66,0.177736983,,
67,0.180373832,,
68,0.176969292,,
69,0.17993992,,
70,0.179205607,,
71,0.180173565,,
72,0.175,,
73,0.182209613,,
74,0.17423231,,
75,0.17546729,,
76,0.181308411,,
77,0.178805073,,
78,0.178638184,,
79,0.182376502,,
80,0.177136182,,
81,0.178838451,,
82,0.175634179,,
83,0.183477971,,
84,0.180373832,,
85,0.175267023,,
86,0.175734312,,
87,0.174799733,,
88,0.17746996,,
89,0.177036048,,
90,0.181675567,,
91,0.177736983,,
92,0.177736983,,
93,0.179706275,,
94,0.171995995,,
95,0.176902537,,
96,0.179038718,,
97,0.179205607,,
98,0.178070761,,
99,0.177603471,,
100,0.176668892,,
