ID,Sex,Mass,SVL
U6,F,1.6,39.72
U15,F,2.4,46.25
U19,F,1.2,36.71
U24,F,2.5,49.64
U26,F,1.2,35.55
U29,F,1.2,34.67
U30,F,1,33.32
U35,F,2.5,47.15
U44,F,1.1,34.18
U45,F,2.1,46.71
U52,F,1.4,36.85
U55,F,1.2,34.36
U56,F,2.5,47.48
U59,F,1.8,44.6
U64,F,1.4,36.05
U65,F,2.3,46.5
U68,F,1.1,35.29
U69,F,1.6,39.43
U72,F,1,33.75
U73,F,1.1,35.72
U74,F,1.1,33.8
U79,F,1.3,36.11
U80,F,1.9,41.11
U82,F,1.1,34.78
U84,F,1.5,38.01
U86,F,1.1,33.54
U89,F,1.6,38.77
U90,F,1.1,33.71
U91,F,1.8,40.15
U93,F,1.5,37.78
U94,F,1.1,35.21
U96,F,2.5,47.66
U97,F,2,46.25
U98,F,1.2,35.49
U103,F,1.3,36.15
U109,F,2.2,40.85
U110,F,1.8,41.25
U111,F,1.6,39
U113,F,1.2,36.11
U114,F,1.3,38.16
U115,F,0.8,30.98
U116,F,2.4,45.8
U118,F,3.2,45.78
U120,F,3.2,46.21
U122,F,1.3,37.46
U124,F,1.1,34.33
U126,F,2.4,44.47
U129,F,1,35.09
U134,F,1.9,39.95
U135,F,1.4,37.31
U136,F,1.3,34.64
U137,F,1.1,34.28
U139,F,1.1,34.03
U142,F,1,32.4
U148,F,1.5,39.56
U149,F,1.8,42.54
U150,F,2.9,45.99
U157,F,1.1,33.71
U158,F,1.3,36.21
U165,F,1.1,35.09
U166,F,1.5,39.51
U173,F,1.3,37.5
U177,F,1.5,37.89
U179,F,1.6,38.09
U184,F,1.1,34.97
U185,F,1.4,38.83
U186,F,2.4,45.7
U194,F,1,34.1
U196,F,1.3,35.88
U198,F,1.2,36.46
U200,F,2.6,46.03
U204,F,2.2,44.72
U208,F,1,35.6
U209,F,1.7,39.84
U210,F,2.1,43.01
U211,F,3,49.84
U214,F,2.1,46.54
U217,F,2.1,44.67
U221,F,1.6,39.97
U223,F,1.8,41.22
U224,F,2.2,42.58
U228,F,1.5,39.43
U230,F,1.7,51.58
U232,F,1.6,39.92
U233,F,2.7,46.15
U234,F,2.1,42.8
U237,F,1.8,41.46
U238,F,2,43.47
U241,F,2.3,43.95
U242,F,1.8,40.44
U246,F,1.9,42.81
U248,F,2.5,45.66
