SerialNumber,ID,Sex
199,LU199,M
1,U1,M
10,U10,M
100,U100,M
101,U101,M
102,U102,M
103,U103,F
104,U104,M
105,U105,M
106,U106,M
107,U107,M
108,U108,M
109,U109,F
11,U11,M
110,U110,F
111,U111,F
112,U112,M
113,U113,F
114,U114,F
115,U115,F
116,U116,F
117,U117,M
118,U118,F
119,U119,M
12,U12,M
120,U120,F
121,U121,M
122,U122,F
123,U123,M
124,U124,F
125,U125,M
126,U126,F
127,U127,M
128,U128,M
129,U129,F
13,U13,M
130,U130,M
131,U131,M
132,U132,M
133,U133,M
134,U134,F
135,U135,F
136,U136,F
137,U137,F
138,U138,M
139,U139,F
14,U14,M
140,U140,M
141,U141,M
142,U142,F
143,U143,M
144,U144,M
145,U145,M
146,U146,M
147,U147,M
148,U148,F
149,U149,F
15,U15,F
150,U150,F
151,U151,M
152,U152,M
153,U153,M
154,U154,M
155,U155,M
156,U156,M
157,U157,F
158,U158,F
159,U159,M
16,U16,M
160,U160,M
161,U161,M
162,U162,M
163,U163,M
164,U164,M
165,U165,F
166,U166,F
167,U167,M
168,U168,M
169,U169,M
17,U17,M
170,U170,M
171,U171,M
172,U172,M
173,U173,F
174,U174,M
175,U175,M
176,U176,M
177,U177,F
178,U178,M
179,U179,F
21,U18,M
180,U180,M
181,U181,M
182,U182,M
183,U183,M
184,U184,F
185,U185,F
186,U186,F
187,U187,M
188,U188,M
189,U189,M
18,U19,F
190,U190,M
191,U191,M
192,U192,M
193,U193,M
194,U194,F
195,U195,M
196,U196,F
197,U197,M
198,U198,F
2,U2,M
19,U20,M
200,U200,F
201,U201,M
202,U202,M
203,U203,M
204,U204,F
205,U205,M
206,U206,M
207,U207,M
208,U208,F
209,U209,F
20,U21,M
210,U210,F
211,U211,F
212,U212,M
213,U213,M
214,U214,F
215,U215,M
216,U216,M
217,U217,F
218,U218,M
219,U219,M
22,U22,M
220,U220,M
221,U221,F
222,U222,M
223,U223,F
224,U224,F
225,U225,M
226,U226,M
227,U227,M
228,U228,F
229,U229,M
23,U23,M
230,U230,F
231,U231,M
232,U232,F
233,U233,F
234,U234,F
235,U235,M
236,U236,M
237,U237,F
238,U238,F
239,U239,M
24,U24,F
240,U240,M
241,U241,F
242,U242,F
243,U243,M
244,U244,M
245,U245,M
246,U246,F
247,U247,M
248,U248,F
249,U249,M
25,U25,M
250,U250,M
251,U251,M
252,U252,M
253,U253,M
26,U26,F
27,U27,M
28,U28,M
29,U29,F
3,U3,M
30,U30,F
31,U31,M
32,U32,M
33,U33,M
34,U34,M
35,U35,F
36,U36,M
37,U37,M
38,U38,M
39,U39,M
4,U4,M
40,U40,M
41,U41,M
42,U42,M
43,U43,M
44,U44,F
45,U45,F
46,U46,M
47,U47,M
48,U48,M
49,U49,M
5,U5,M
50,U50,M
51,U51,M
52,U52,F
53,U53,M
54,U54,M
55,U55,F
56,U56,F
57,U57,M
58,U58,M
59,U59,F
6,U6,F
60,U60,M
61,U61,M
62,U62,M
63,U63,M
64,U64,F
65,U65,F
66,U66,M
67,U67,M
68,U68,F
69,U69,F
7,U7,M
70,U70,M
71,U71,M
72,U72,F
73,U73,F
74,U74,F
75,U75,M
76,U76,M
77,U77,M
78,U78,M
79,U79,F
8,U8,M
80,U80,F
81,U81,M
82,U82,F
83,U83,M
84,U84,F
85,U85,M
86,U86,F
87,U87,M
88,U88,M
89,U89,F
9,U9,M
90,U90,F
91,U91,F
92,U92,M
93,U93,F
94,U94,F
95,U95,M
96,U96,F
97,U97,F
98,U98,F
99,U99,M
